,Peringkat,Film,Produksi/Distribusi,Penonton
0,1,Milea: Suara dari Dilan,Max Pictures,3.157.817
1,2,Nanti Kita Cerita tentang Hari Ini,Visinema Pictures,2.256.908
2,3,Akhir Kisah Cinta Si Doel,Falcon Pictures,1.155.859
3,4,Sebelum Iblis Menjemput Ayat 2,Frontier Pictures,863.003
4,5,Mangkujiwo,MVP Pictures,834.806
5,6,TemanTapiMenikah2,Falcon Pictures,832.801
6,7,Mariposa,"Falcon Pictures, Starvision",766.429
7,8,Aku Tahu Kapan Kamu Mati,Maxima Pictures,567.701
8,9,Rasuk 2,Dee Company,382.765
9,10,Asih 2,MD Pictures,322.786
10,11,Dignitate,MD Pictures,236.210
11,12,Toko Barang Mantan,MNC Pictures,217.818
12,13,Janin,PAW Pictures,183.673
13,14,Titus: Mystery of the Enygma,MNC Pictures,156.738
14,15,Mangga Muda,Lingkar Film,112.317
